device_id,temperature,humidity,timestamp
DEV024,32.94,39.52,2026-06-06T22:34:18.574310
DEV015,17.23,64.77,2026-06-06T22:34:19.574315
DEV028,21.41,79.53,2026-06-06T22:34:20.574321
DEV046,35.32,32.8,2026-06-06T22:34:21.574333
DEV007,16.09,57.44,2026-06-06T22:34:22.574339
DEV007,24.8,38.13,2026-06-06T22:34:23.574345
DEV030,29.44,65.01,2026-06-06T22:34:24.574355
DEV035,27.03,48.85,2026-06-06T22:34:25.574360
DEV039,18.13,53.29,2026-06-06T22:34:26.574366
DEV035,26.43,38.63,2026-06-06T22:34:27.574371
DEV034,16.6,78.21,2026-06-06T22:34:28.574376
DEV035,39.98,54.01,2026-06-06T22:34:29.574382
DEV001,37.84,63.05,2026-06-06T22:34:30.574387
DEV023,32.96,83.78,2026-06-06T22:34:31.574392
DEV048,18.75,74.01,2026-06-06T22:34:32.574397
DEV021,32.2,84.59,2026-06-06T22:34:33.574403
DEV046,36.42,50.23,2026-06-06T22:34:34.574408
DEV025,28.54,88.34,2026-06-06T22:34:35.574414
DEV029,20.52,71.3,2026-06-06T22:34:36.574420
DEV022,31.55,75.24,2026-06-06T22:34:37.574426
DEV036,15.56,72.03,2026-06-06T22:34:38.574432
DEV010,32.3,33.31,2026-06-06T22:34:39.574443
DEV023,36.29,43.43,2026-06-06T22:34:40.574450
DEV005,25.63,63.58,2026-06-06T22:34:41.574456
DEV049,22.7,76.74,2026-06-06T22:34:42.574462
DEV045,23.56,68.49,2026-06-06T22:34:43.574468
DEV006,37.95,78.15,2026-06-06T22:34:44.574474
DEV005,20.94,74.66,2026-06-06T22:34:45.574482
DEV036,33.71,42.84,2026-06-06T22:34:46.574488
DEV033,31.73,82.79,2026-06-06T22:34:47.574500
DEV005,20.71,76.37,2026-06-06T22:34:48.574506
DEV018,25.92,38.42,2026-06-06T22:34:49.574512
DEV038,26.25,35.05,2026-06-06T22:34:50.574518
DEV003,35.25,36.27,2026-06-06T22:34:51.574524
DEV022,39.23,40.28,2026-06-06T22:34:52.574530
DEV012,32.89,76.47,2026-06-06T22:34:53.574535
DEV027,25.56,64.89,2026-06-06T22:34:54.574541
DEV037,30.39,47.27,2026-06-06T22:34:55.574547
DEV008,28.41,61.51,2026-06-06T22:34:56.574553
DEV005,22.17,36.04,2026-06-06T22:34:57.574559
DEV021,36.5,30.72,2026-06-06T22:34:58.574565
DEV023,28.29,52.72,2026-06-06T22:34:59.574571
DEV016,16.84,48.8,2026-06-06T22:35:00.574577
DEV019,28.61,54.96,2026-06-06T22:35:01.574583
DEV013,25.65,34.59,2026-06-06T22:35:02.574589
DEV031,25.69,53.75,2026-06-06T22:35:03.574596
DEV043,28.94,83.3,2026-06-06T22:35:04.574601
DEV004,24.56,68.92,2026-06-06T22:35:05.574607
DEV021,38.32,52.86,2026-06-06T22:35:06.574613
DEV044,25.78,35.91,2026-06-06T22:35:07.574619
DEV040,37.14,44.45,2026-06-06T22:35:08.574624
DEV026,20.26,42.45,2026-06-06T22:35:09.574630
DEV029,22.62,60.63,2026-06-06T22:35:10.574644
DEV047,21.9,53.13,2026-06-06T22:35:11.574650
DEV016,31.52,46.48,2026-06-06T22:35:12.574656
DEV002,24.38,38.39,2026-06-06T22:35:13.574662
DEV029,22.15,49.33,2026-06-06T22:35:14.574668
DEV011,39.56,69.11,2026-06-06T22:35:15.574716
DEV026,34.2,61.5,2026-06-06T22:35:16.574723
DEV034,30.71,60.25,2026-06-06T22:35:17.574744
DEV016,30.1,55.59,2026-06-06T22:35:18.574750
DEV028,23.31,31.94,2026-06-06T22:35:19.574755
DEV014,16.12,79.02,2026-06-06T22:35:20.574761
DEV027,22.76,52.07,2026-06-06T22:35:21.574767
DEV038,15.76,83.06,2026-06-06T22:35:22.574773
DEV046,34.0,60.07,2026-06-06T22:35:23.574779
DEV037,34.26,75.99,2026-06-06T22:35:24.574785
DEV001,22.14,43.15,2026-06-06T22:35:25.574790
DEV012,36.9,31.45,2026-06-06T22:35:26.574797
DEV006,35.89,31.63,2026-06-06T22:35:27.574803
DEV007,36.56,78.53,2026-06-06T22:35:28.574810
DEV018,34.49,47.73,2026-06-06T22:35:29.574827
DEV001,15.52,86.92,2026-06-06T22:35:30.574834
DEV024,20.27,70.31,2026-06-06T22:35:31.574840
DEV021,33.5,77.78,2026-06-06T22:35:32.574846
DEV018,33.44,80.14,2026-06-06T22:35:33.574856
DEV011,29.72,46.71,2026-06-06T22:35:34.574862
DEV013,33.7,63.48,2026-06-06T22:35:35.574868
DEV018,28.6,75.23,2026-06-06T22:35:36.574874
DEV036,38.88,40.13,2026-06-06T22:35:37.574881
DEV049,36.6,33.04,2026-06-06T22:35:38.574887
DEV032,21.18,60.02,2026-06-06T22:35:39.574892
DEV032,26.13,62.82,2026-06-06T22:35:40.574899
DEV012,23.28,31.41,2026-06-06T22:35:41.574905
DEV017,39.67,40.56,2026-06-06T22:35:42.574917
DEV042,34.85,72.28,2026-06-06T22:35:43.574923
DEV050,25.44,41.93,2026-06-06T22:35:44.574929
DEV032,29.13,74.59,2026-06-06T22:35:45.574935
DEV017,30.34,45.71,2026-06-06T22:35:46.574941
DEV046,15.73,87.15,2026-06-06T22:35:47.574947
DEV027,39.81,73.47,2026-06-06T22:35:48.574953
DEV004,30.55,81.62,2026-06-06T22:35:49.574959
DEV002,32.67,30.46,2026-06-06T22:35:50.574964
DEV026,34.65,57.89,2026-06-06T22:35:51.574970
DEV029,25.16,31.8,2026-06-06T22:35:52.574976
DEV015,37.4,84.83,2026-06-06T22:35:53.574982
DEV001,28.41,49.25,2026-06-06T22:35:54.574988
DEV038,19.92,32.51,2026-06-06T22:35:55.574994
DEV008,30.39,39.72,2026-06-06T22:35:56.575007
DEV026,24.54,79.25,2026-06-06T22:35:57.575013
DEV023,30.66,62.59,2026-06-06T22:35:58.575019
DEV003,15.47,63.85,2026-06-06T22:35:59.575025
DEV011,22.49,42.93,2026-06-06T22:36:00.575031
DEV043,15.69,45.97,2026-06-06T22:36:01.575037
DEV019,33.25,30.26,2026-06-06T22:36:02.575043
DEV038,27.69,58.63,2026-06-06T22:36:03.575049
DEV008,27.18,68.83,2026-06-06T22:36:04.575055
DEV011,24.84,83.85,2026-06-06T22:36:05.575061
DEV042,19.24,56.43,2026-06-06T22:36:06.575067
DEV016,29.72,36.38,2026-06-06T22:36:07.575073
DEV007,31.08,35.42,2026-06-06T22:36:08.575079
DEV008,25.55,58.97,2026-06-06T22:36:09.575085
DEV042,33.18,55.91,2026-06-06T22:36:10.575091
DEV030,19.09,37.13,2026-06-06T22:36:11.575097
DEV043,38.79,55.14,2026-06-06T22:36:12.575102
DEV016,33.56,76.4,2026-06-06T22:36:13.575108
DEV014,24.8,47.3,2026-06-06T22:36:14.575114
DEV016,38.93,53.9,2026-06-06T22:36:15.575120
DEV005,21.58,62.57,2026-06-06T22:36:16.575125
DEV015,34.64,45.5,2026-06-06T22:36:17.575132
DEV005,15.76,75.84,2026-06-06T22:36:18.575145
DEV027,31.26,87.36,2026-06-06T22:36:19.575162
DEV008,26.82,31.3,2026-06-06T22:36:20.575169
DEV002,16.49,33.12,2026-06-06T22:36:21.575176
DEV031,33.54,89.95,2026-06-06T22:36:22.575182
DEV024,37.44,63.64,2026-06-06T22:36:23.575188
DEV039,30.66,58.01,2026-06-06T22:36:24.575194
DEV006,29.07,82.84,2026-06-06T22:36:25.575199
DEV010,38.26,58.42,2026-06-06T22:36:26.575206
DEV016,16.89,34.97,2026-06-06T22:36:27.575212
DEV040,21.79,69.24,2026-06-06T22:36:28.575218
DEV025,34.95,65.37,2026-06-06T22:36:29.575224
DEV049,31.41,64.63,2026-06-06T22:36:30.575230
DEV028,26.41,48.56,2026-06-06T22:36:31.575237
DEV021,18.9,58.37,2026-06-06T22:36:32.575243
DEV019,34.63,69.34,2026-06-06T22:36:33.575249
DEV008,25.86,42.17,2026-06-06T22:36:34.575255
DEV038,33.74,34.49,2026-06-06T22:36:35.575261
DEV045,35.04,77.25,2026-06-06T22:36:36.575268
DEV031,29.21,65.75,2026-06-06T22:36:37.575273
DEV019,34.63,83.7,2026-06-06T22:36:38.575280
DEV014,39.1,89.63,2026-06-06T22:36:39.575286
DEV049,33.18,51.94,2026-06-06T22:36:40.575291
DEV017,37.59,60.54,2026-06-06T22:36:41.575297
DEV017,36.12,63.14,2026-06-06T22:36:42.575309
DEV014,20.9,81.08,2026-06-06T22:36:43.575315
DEV005,32.27,43.47,2026-06-06T22:36:44.575320
DEV015,23.83,43.34,2026-06-06T22:36:45.575331
DEV040,38.65,73.7,2026-06-06T22:36:46.575336
DEV039,31.87,84.6,2026-06-06T22:36:47.575342
DEV047,30.38,41.01,2026-06-06T22:36:48.575347
DEV041,21.11,48.33,2026-06-06T22:36:49.575354
DEV047,38.01,52.02,2026-06-06T22:36:50.575360
DEV032,21.38,52.78,2026-06-06T22:36:51.575366
DEV006,32.5,37.88,2026-06-06T22:36:52.575372
DEV016,26.07,56.71,2026-06-06T22:36:53.575378
DEV027,26.11,89.9,2026-06-06T22:36:54.575384
DEV044,38.76,75.63,2026-06-06T22:36:55.575390
DEV027,19.43,52.91,2026-06-06T22:36:56.575395
DEV032,29.71,33.89,2026-06-06T22:36:57.575401
DEV001,19.93,80.61,2026-06-06T22:36:58.575407
DEV041,22.64,68.07,2026-06-06T22:36:59.575413
DEV020,34.25,63.06,2026-06-06T22:37:00.575419
DEV001,16.52,30.33,2026-06-06T22:37:01.575425
DEV049,21.65,87.02,2026-06-06T22:37:02.575431
DEV028,38.1,78.4,2026-06-06T22:37:03.575437
DEV050,24.16,43.46,2026-06-06T22:37:04.575443
DEV045,26.27,61.69,2026-06-06T22:37:05.575458
DEV021,35.9,65.89,2026-06-06T22:37:06.575465
DEV027,37.55,67.18,2026-06-06T22:37:07.575470
DEV040,29.22,38.89,2026-06-06T22:37:08.575477
DEV013,31.6,58.32,2026-06-06T22:37:09.575488
DEV047,36.06,57.29,2026-06-06T22:37:10.575495
DEV048,32.46,89.97,2026-06-06T22:37:11.575500
DEV037,23.77,32.47,2026-06-06T22:37:12.575506
DEV006,16.05,43.76,2026-06-06T22:37:13.575512
DEV041,15.09,76.11,2026-06-06T22:37:14.575519
DEV023,15.49,68.51,2026-06-06T22:37:15.575525
DEV024,30.88,80.53,2026-06-06T22:37:16.575531
DEV047,21.39,32.08,2026-06-06T22:37:17.575537
DEV013,25.84,53.7,2026-06-06T22:37:18.575542
DEV038,19.2,57.22,2026-06-06T22:37:19.575548
DEV027,18.79,46.9,2026-06-06T22:37:20.575554
DEV038,32.58,55.79,2026-06-06T22:37:21.575567
DEV029,26.51,65.14,2026-06-06T22:37:22.575573
DEV025,28.35,48.29,2026-06-06T22:37:23.575579
DEV010,22.4,39.34,2026-06-06T22:37:24.575585
DEV017,32.2,86.5,2026-06-06T22:37:25.575590
DEV049,25.63,86.46,2026-06-06T22:37:26.575596
DEV046,37.02,49.13,2026-06-06T22:37:27.575602
DEV040,37.11,61.31,2026-06-06T22:37:28.575614
DEV048,35.52,53.04,2026-06-06T22:37:29.575620
DEV019,17.56,63.24,2026-06-06T22:37:30.575626
DEV050,39.72,75.73,2026-06-06T22:37:31.575632
DEV027,15.02,61.53,2026-06-06T22:37:32.575637
DEV010,31.29,41.34,2026-06-06T22:37:33.575643
DEV047,38.7,34.01,2026-06-06T22:37:34.575649
DEV012,37.17,89.34,2026-06-06T22:37:35.575655
DEV012,16.89,57.59,2026-06-06T22:37:36.575661
DEV024,35.25,44.64,2026-06-06T22:37:37.575667
DEV025,16.17,85.19,2026-06-06T22:37:38.575699
DEV004,27.83,30.93,2026-06-06T22:37:39.575708
DEV031,20.77,88.04,2026-06-06T22:37:40.575714
DEV007,24.35,70.1,2026-06-06T22:37:41.575720
DEV015,17.49,36.87,2026-06-06T22:37:42.575737
DEV007,33.25,71.28,2026-06-06T22:37:43.575743
DEV015,35.87,31.04,2026-06-06T22:37:44.575748
DEV006,35.36,62.19,2026-06-06T22:37:45.575754
DEV039,34.04,79.2,2026-06-06T22:37:46.575759
DEV048,23.5,63.77,2026-06-06T22:37:47.575774
DEV040,27.1,62.51,2026-06-06T22:37:48.575780
DEV035,36.71,45.06,2026-06-06T22:37:49.575787
DEV025,32.68,33.58,2026-06-06T22:37:50.575793
DEV045,15.71,47.42,2026-06-06T22:37:51.575804
DEV031,36.61,67.78,2026-06-06T22:37:52.575810
DEV005,30.25,33.26,2026-06-06T22:37:53.575816
DEV024,19.31,38.84,2026-06-06T22:37:54.575822
DEV038,38.33,56.09,2026-06-06T22:37:55.575828
DEV012,37.85,75.95,2026-06-06T22:37:56.575834
DEV008,15.57,52.11,2026-06-06T22:37:57.575841
DEV047,36.32,39.99,2026-06-06T22:37:58.575847
DEV024,29.19,40.54,2026-06-06T22:37:59.575860
DEV005,35.72,82.12,2026-06-06T22:38:00.575867
DEV045,25.87,87.97,2026-06-06T22:38:01.575873
DEV038,15.27,37.15,2026-06-06T22:38:02.575879
DEV026,17.91,67.75,2026-06-06T22:38:03.575885
DEV046,37.61,81.66,2026-06-06T22:38:04.575891
DEV010,30.59,32.1,2026-06-06T22:38:05.575896
DEV044,21.53,70.21,2026-06-06T22:38:06.575903
DEV041,25.12,31.67,2026-06-06T22:38:07.575909
DEV039,28.19,42.82,2026-06-06T22:38:08.575915
DEV021,35.09,57.58,2026-06-06T22:38:09.575921
DEV045,24.13,45.58,2026-06-06T22:38:10.575927
DEV018,21.1,42.99,2026-06-06T22:38:11.575934
DEV025,21.7,78.77,2026-06-06T22:38:12.575940
DEV030,24.37,35.74,2026-06-06T22:38:13.575946
DEV030,25.95,86.62,2026-06-06T22:38:14.575959
DEV039,28.24,38.27,2026-06-06T22:38:15.575965
DEV045,15.72,42.6,2026-06-06T22:38:16.575970
DEV043,25.67,41.69,2026-06-06T22:38:17.575976
DEV030,29.6,55.98,2026-06-06T22:38:18.575981
DEV009,30.18,50.67,2026-06-06T22:38:19.575986
DEV016,18.91,63.72,2026-06-06T22:38:20.575992
DEV020,24.0,74.75,2026-06-06T22:38:21.575998
DEV040,26.4,87.34,2026-06-06T22:38:22.576003
DEV017,30.49,35.31,2026-06-06T22:38:23.576008
DEV005,20.89,50.13,2026-06-06T22:38:24.576019
DEV037,25.36,68.83,2026-06-06T22:38:25.576025
DEV020,24.5,58.9,2026-06-06T22:38:26.576030
DEV009,34.13,53.31,2026-06-06T22:38:27.576036
DEV042,18.02,78.1,2026-06-06T22:38:28.576042
DEV013,24.28,82.07,2026-06-06T22:38:29.576047
DEV019,37.85,69.26,2026-06-06T22:38:30.576053
DEV013,19.94,77.56,2026-06-06T22:38:31.576059
DEV031,39.83,54.42,2026-06-06T22:38:32.576064
DEV019,17.44,48.29,2026-06-06T22:38:33.576070
DEV026,17.92,79.76,2026-06-06T22:38:34.576076
DEV003,18.0,65.58,2026-06-06T22:38:35.576082
DEV039,25.23,42.71,2026-06-06T22:38:36.576088
DEV041,33.17,69.54,2026-06-06T22:38:37.576101
DEV008,32.74,70.32,2026-06-06T22:38:38.576106
DEV048,27.53,59.19,2026-06-06T22:38:39.576112
DEV048,26.88,45.3,2026-06-06T22:38:40.576118
DEV025,32.89,82.36,2026-06-06T22:38:41.576124
DEV034,28.3,84.11,2026-06-06T22:38:42.576130
DEV031,23.31,85.73,2026-06-06T22:38:43.576136
DEV020,29.71,58.99,2026-06-06T22:38:44.576141
DEV009,34.56,70.17,2026-06-06T22:38:45.576148
DEV024,21.3,39.0,2026-06-06T22:38:46.576154
DEV044,29.1,55.89,2026-06-06T22:38:47.576160
DEV037,35.82,73.97,2026-06-06T22:38:48.576166
DEV038,38.12,80.64,2026-06-06T22:38:49.576179
DEV040,20.03,44.07,2026-06-06T22:38:50.576191
DEV005,18.93,51.96,2026-06-06T22:38:51.576197
DEV018,35.7,65.18,2026-06-06T22:38:52.576203
DEV003,33.73,33.09,2026-06-06T22:38:53.576208
DEV020,39.6,58.41,2026-06-06T22:38:54.576214
DEV045,16.27,54.57,2026-06-06T22:38:55.576220
DEV032,34.06,40.97,2026-06-06T22:38:56.576226
DEV027,24.62,69.6,2026-06-06T22:38:57.576231
DEV039,22.38,36.12,2026-06-06T22:38:58.576237
DEV047,34.96,81.93,2026-06-06T22:38:59.576243
DEV034,33.77,57.24,2026-06-06T22:39:00.576259
DEV020,20.68,68.75,2026-06-06T22:39:01.576264
DEV019,32.37,55.3,2026-06-06T22:39:02.576271
DEV014,22.64,37.93,2026-06-06T22:39:03.576277
DEV038,16.09,49.93,2026-06-06T22:39:04.576282
DEV006,22.15,55.48,2026-06-06T22:39:05.576288
DEV014,17.01,48.06,2026-06-06T22:39:06.576294
DEV019,35.78,53.75,2026-06-06T22:39:07.576300
DEV046,35.57,85.81,2026-06-06T22:39:08.576306
DEV026,36.37,87.86,2026-06-06T22:39:09.576311
DEV001,22.43,60.29,2026-06-06T22:39:10.576317
DEV027,32.62,73.97,2026-06-06T22:39:11.576322
DEV020,16.58,33.0,2026-06-06T22:39:12.576328
DEV047,24.86,62.51,2026-06-06T22:39:13.576334
DEV045,28.8,68.61,2026-06-06T22:39:14.576340
DEV011,33.75,61.2,2026-06-06T22:39:15.576346
DEV002,16.62,69.6,2026-06-06T22:39:16.576353
DEV014,23.85,44.37,2026-06-06T22:39:17.576359
DEV011,16.42,31.57,2026-06-06T22:39:18.576365
DEV030,27.03,86.73,2026-06-06T22:39:19.576371
DEV039,23.31,65.85,2026-06-06T22:39:20.576377
DEV002,17.78,81.25,2026-06-06T22:39:21.576385
DEV030,27.27,39.23,2026-06-06T22:39:22.576391
DEV023,31.86,50.37,2026-06-06T22:39:23.576405
DEV045,22.36,89.97,2026-06-06T22:39:24.576411
DEV020,36.12,39.69,2026-06-06T22:39:25.576417
DEV047,20.2,58.19,2026-06-06T22:39:26.576424
DEV048,37.2,42.63,2026-06-06T22:39:27.576435
DEV002,19.82,40.74,2026-06-06T22:39:28.576441
DEV022,25.61,36.6,2026-06-06T22:39:29.576448
DEV049,36.33,63.3,2026-06-06T22:39:30.576453
DEV030,15.51,87.91,2026-06-06T22:39:31.576459
DEV038,35.06,67.67,2026-06-06T22:39:32.576465
DEV043,18.88,61.36,2026-06-06T22:39:33.576471
DEV003,33.28,86.18,2026-06-06T22:39:34.576477
DEV027,27.26,73.73,2026-06-06T22:39:35.576483
DEV048,32.86,43.69,2026-06-06T22:39:36.576489
DEV044,16.91,56.85,2026-06-06T22:39:37.576495
DEV027,31.2,69.37,2026-06-06T22:39:38.576501
DEV001,32.96,45.9,2026-06-06T22:39:39.576515
DEV017,29.06,37.63,2026-06-06T22:39:40.576522
DEV026,30.04,80.35,2026-06-06T22:39:41.576528
DEV043,20.93,60.44,2026-06-06T22:39:42.576534
DEV025,17.27,81.85,2026-06-06T22:39:43.576540
DEV002,27.95,43.67,2026-06-06T22:39:44.576546
DEV050,33.37,57.31,2026-06-06T22:39:45.576552
DEV012,35.88,80.9,2026-06-06T22:39:46.576564
DEV007,20.72,82.89,2026-06-06T22:39:47.576570
DEV044,17.59,53.73,2026-06-06T22:39:48.576575
DEV016,30.77,45.44,2026-06-06T22:39:49.576581
DEV041,24.32,84.18,2026-06-06T22:39:50.576587
DEV031,29.11,37.25,2026-06-06T22:39:51.576593
DEV023,36.06,89.87,2026-06-06T22:39:52.576598
DEV027,30.47,55.23,2026-06-06T22:39:53.576610
DEV007,26.21,46.0,2026-06-06T22:39:54.576616
DEV041,15.37,40.5,2026-06-06T22:39:55.576622
DEV029,30.94,59.53,2026-06-06T22:39:56.576628
DEV035,36.36,65.3,2026-06-06T22:39:57.576634
DEV019,18.08,33.33,2026-06-06T22:39:58.576640
DEV039,25.5,58.96,2026-06-06T22:39:59.576645
DEV028,26.13,71.32,2026-06-06T22:40:00.576651
DEV032,30.18,46.26,2026-06-06T22:40:01.576657
DEV011,30.71,80.95,2026-06-06T22:40:02.576663
DEV029,18.23,75.28,2026-06-06T22:40:03.576669
DEV018,22.79,81.55,2026-06-06T22:40:04.576703
DEV041,34.43,84.26,2026-06-06T22:40:05.576710
DEV034,34.79,54.95,2026-06-06T22:40:06.576715
DEV019,24.69,58.33,2026-06-06T22:40:07.576721
DEV034,17.84,40.49,2026-06-06T22:40:08.576742
DEV016,29.98,75.46,2026-06-06T22:40:09.576759
DEV046,23.59,84.06,2026-06-06T22:40:10.576765
DEV034,19.35,38.76,2026-06-06T22:40:11.576771
DEV020,28.57,74.81,2026-06-06T22:40:12.576777
DEV038,32.81,47.59,2026-06-06T22:40:13.576783
DEV039,15.92,68.45,2026-06-06T22:40:14.576789
DEV028,31.37,53.02,2026-06-06T22:40:15.576795
DEV017,30.75,74.92,2026-06-06T22:40:16.576801
DEV026,16.47,69.12,2026-06-06T22:40:17.576807
DEV002,15.81,37.96,2026-06-06T22:40:18.576813
DEV025,24.21,85.01,2026-06-06T22:40:19.576819
DEV036,19.09,63.6,2026-06-06T22:40:20.576825
DEV011,21.02,67.11,2026-06-06T22:40:21.576831
DEV045,28.89,69.57,2026-06-06T22:40:22.576837
DEV006,24.44,60.59,2026-06-06T22:40:23.576843
DEV028,29.81,70.92,2026-06-06T22:40:24.576848
DEV039,17.93,89.18,2026-06-06T22:40:25.576854
DEV016,30.63,49.61,2026-06-06T22:40:26.576860
DEV038,25.86,53.02,2026-06-06T22:40:27.576866
DEV001,35.14,76.81,2026-06-06T22:40:28.576873
DEV027,24.94,87.55,2026-06-06T22:40:29.576887
DEV015,21.45,36.05,2026-06-06T22:40:30.576894
DEV006,39.11,83.44,2026-06-06T22:40:31.576906
DEV026,37.94,71.58,2026-06-06T22:40:32.576915
DEV010,39.68,55.43,2026-06-06T22:40:33.576921
DEV046,16.38,34.49,2026-06-06T22:40:34.576927
DEV037,25.19,53.25,2026-06-06T22:40:35.576933
DEV019,27.07,88.07,2026-06-06T22:40:36.576939
DEV007,37.8,49.23,2026-06-06T22:40:37.576944
DEV042,25.81,86.9,2026-06-06T22:40:38.576950
DEV019,18.13,82.89,2026-06-06T22:40:39.576956
DEV015,34.61,40.04,2026-06-06T22:40:40.576962
DEV001,38.78,75.53,2026-06-06T22:40:41.576968
DEV036,27.43,82.96,2026-06-06T22:40:42.576974
DEV046,34.05,40.17,2026-06-06T22:40:43.576980
DEV009,32.94,38.32,2026-06-06T22:40:44.576986
DEV036,32.49,57.28,2026-06-06T22:40:45.576991
DEV048,17.81,57.61,2026-06-06T22:40:46.576997
DEV042,31.14,76.49,2026-06-06T22:40:47.577004
DEV012,34.56,47.2,2026-06-06T22:40:48.577010
DEV019,31.27,60.95,2026-06-06T22:40:49.577016
DEV003,39.27,57.54,2026-06-06T22:40:50.577022
DEV049,31.67,68.9,2026-06-06T22:40:51.577028
DEV038,29.3,65.89,2026-06-06T22:40:52.577035
DEV028,23.25,40.39,2026-06-06T22:40:53.577041
DEV007,28.63,88.84,2026-06-06T22:40:54.577047
DEV005,26.75,70.57,2026-06-06T22:40:55.577059
DEV031,24.71,43.48,2026-06-06T22:40:56.577068
DEV006,27.02,34.77,2026-06-06T22:40:57.577074
DEV015,16.82,79.26,2026-06-06T22:40:58.577079
DEV039,30.08,64.67,2026-06-06T22:40:59.577085
DEV006,16.83,72.32,2026-06-06T22:41:00.577091
DEV015,39.17,76.82,2026-06-06T22:41:01.577097
DEV049,21.7,59.25,2026-06-06T22:41:02.577103
DEV041,16.08,66.8,2026-06-06T22:41:03.577109
DEV044,15.26,44.72,2026-06-06T22:41:04.577115
DEV047,18.24,58.49,2026-06-06T22:41:05.577122
DEV031,37.7,53.55,2026-06-06T22:41:06.577127
DEV043,36.9,50.69,2026-06-06T22:41:07.577133
DEV045,23.93,87.42,2026-06-06T22:41:08.577139
DEV045,17.29,59.84,2026-06-06T22:41:09.577145
DEV030,15.03,50.53,2026-06-06T22:41:10.577151
DEV035,36.78,68.74,2026-06-06T22:41:11.577156
DEV002,22.43,86.16,2026-06-06T22:41:12.577287
DEV025,38.27,40.56,2026-06-06T22:41:13.577298
DEV026,23.83,71.07,2026-06-06T22:41:14.577304
DEV041,16.68,32.14,2026-06-06T22:41:15.577310
DEV045,15.6,67.94,2026-06-06T22:41:16.577316
DEV032,33.03,85.89,2026-06-06T22:41:17.577321
DEV035,19.29,46.18,2026-06-06T22:41:18.577327
DEV013,37.63,45.01,2026-06-06T22:41:19.577347
DEV028,30.82,41.8,2026-06-06T22:41:20.577355
DEV002,23.17,81.58,2026-06-06T22:41:21.577362
DEV037,16.1,36.34,2026-06-06T22:41:22.577368
DEV037,26.45,68.14,2026-06-06T22:41:23.577374
DEV027,32.71,77.53,2026-06-06T22:41:24.577380
DEV031,35.37,42.39,2026-06-06T22:41:25.577385
DEV034,23.01,89.64,2026-06-06T22:41:26.577391
DEV039,32.59,53.27,2026-06-06T22:41:27.577397
DEV035,16.44,75.38,2026-06-06T22:41:28.577404
